# Snapshot of LLE THROUGH-PORT spectrum
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, P_in_W=0.00943581514737261, kappa_ex=1516139.3812852972
# columns: mu, f_Hz, f_THz, lambda_m, lambda_nm, P_through_dBm, P_through_W
-1.760000000000000000e+02,1.868456615582743125e+14,1.868456615582743154e+02,1.604492475232020927e-06,1.604492475232020979e+03,-1.277705770499621281e+02,1.670868590141634532e-16
-1.750000000000000000e+02,1.868808615582743125e+14,1.868808615582743187e+02,1.604190260576880534e-06,1.604190260576880519e+03,-1.383894509373345159e+02,1.448955028062245130e-17
-1.740000000000000000e+02,1.869160615582743125e+14,1.869160615582743219e+02,1.603888159747762105e-06,1.603888159747762074e+03,-1.300686088104463920e+02,9.843263677114689083e-17
-1.730000000000000000e+02,1.869512615582743125e+14,1.869512615582742967e+02,1.603586172680370545e-06,1.603586172680370510e+03,-1.328992812955286524e+02,5.129462633269221154e-17
-1.720000000000000000e+02,1.869864615582743125e+14,1.869864615582742999e+02,1.603284299310459464e-06,1.603284299310459573e+03,-1.387695738390034421e+02,1.327524717616493857e-17
-1.710000000000000000e+02,1.870216615582743125e+14,1.870216615582743032e+02,1.602982539573830540e-06,1.602982539573830536e+03,-1.244782293844888841e+02,3.565964879280451052e-16
-1.700000000000000000e+02,1.870568615582743125e+14,1.870568615582743064e+02,1.602680893406333946e-06,1.602680893406334008e+03,-1.311414842140828227e+02,7.688676326213006420e-17
-1.690000000000000000e+02,1.870920615582743125e+14,1.870920615582743096e+02,1.602379360743868133e-06,1.602379360743868119e+03,-1.272736837782740622e+02,1.873404772118840761e-16
-1.680000000000000000e+02,1.871272615582743125e+14,1.871272615582743128e+02,1.602077941522379412e-06,1.602077941522379433e+03,-1.302844431681477886e+02,9.366032990431200262e-17
-1.670000000000000000e+02,1.871624615582743125e+14,1.871624615582743161e+02,1.601776635677863007e-06,1.601776635677862942e+03,-1.280559389107847608e+02,1.564610026177980837e-16
-1.660000000000000000e+02,1.871976615582743125e+14,1.871976615582743193e+02,1.601475443146361792e-06,1.601475443146361840e+03,-1.225566986373020200e+02,5.550474813278537442e-16
-1.650000000000000000e+02,1.872328615582743125e+14,1.872328615582743225e+02,1.601174363863966706e-06,1.601174363863966619e+03,-1.232719095870310184e+02,4.707702838176746060e-16
-1.640000000000000000e+02,1.872680615582743125e+14,1.872680615582742973e+02,1.600873397766816758e-06,1.600873397766816652e+03,-1.263012669072816720e+02,2.343545065575238447e-16
-1.630000000000000000e+02,1.873032615582743125e+14,1.873032615582743006e+02,1.600572544791099241e-06,1.600572544791099290e+03,-1.283450961409510853e+02,1.463829132008154172e-16
-1.620000000000000000e+02,1.873384615582743125e+14,1.873384615582743038e+02,1.600271804873049301e-06,1.600271804873049405e+03,-1.212793780337993468e+02,7.448386368513413110e-16
-1.610000000000000000e+02,1.873736615582743125e+14,1.873736615582743070e+02,1.599971177948949732e-06,1.599971177948949844e+03,-1.223704101206034665e+02,5.793739813806421288e-16
-1.600000000000000000e+02,1.874088615582743125e+14,1.874088615582743103e+02,1.599670663955131609e-06,1.599670663955131658e+03,-1.175193167936537861e+02,1.770387443274757676e-15
-1.590000000000000000e+02,1.874440615582743125e+14,1.874440615582743135e+02,1.599370262827973228e-06,1.599370262827973193e+03,-1.290616429467821717e+02,1.241182676285920679e-16
-1.580000000000000000e+02,1.874792615582743125e+14,1.874792615582743167e+02,1.599069974503901591e-06,1.599069974503901676e+03,-1.261882218260333133e+02,2.405347443121059141e-16
