# Snapshot of intracavity temporal pulse
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, S=3.4641016151377544
# columns: tau_ps, |E(tau)|^2_norm
-9.312177548478917544e+00,4.505154427585645216e+00
-9.256582458637254263e+00,2.875412509410652184e+00
-9.200987368795587429e+00,1.804613824889632401e+00
-9.145392278953922371e+00,1.120234445561024028e+00
-9.089797189112257314e+00,6.917537481493455376e-01
-9.034202099270592257e+00,4.281450254627273688e-01
-8.978607009428927199e+00,2.687882512761025633e-01
-8.923011919587262142e+00,1.744226231632936275e-01
-8.867416829745598861e+00,1.200708635756820575e-01
-8.811821739903932027e+00,9.003897261161712684e-02
-8.756226650062266970e+00,7.456175256336443347e-02
-8.700631560220601912e+00,6.761724522328774190e-02
-8.645036470378936855e+00,6.552727197570064332e-02
-8.589441380537270021e+00,6.607106111192523334e-02
-8.533846290695606740e+00,6.792799888374183304e-02
-8.478251200853941683e+00,7.032929706989574092e-02
-8.422656111012274849e+00,7.284138015934692179e-02
-8.367061021170611568e+00,7.523192485368226934e-02
-8.311465931328944734e+00,7.738755762942751970e-02
-8.255870841487279677e+00,7.926370837535090530e-02
-8.200275751645614619e+00,8.085438610276919624e-02
-8.144680661803951338e+00,8.217421688143786151e-02
-8.089085571962282728e+00,8.324796392604877360e-02
-8.033490482120619447e+00,8.410455331534658074e-02
-7.977895392278955278e+00,8.477376572051137371e-02
-7.922300302437289332e+00,8.528446345999658729e-02
-7.866705212595623387e+00,8.566367211339814824e-02
-7.811110122753959217e+00,8.593611382566720969e-02
-7.755515032912293272e+00,8.612396781132115875e-02
-7.699919943070628214e+00,8.624674003347851392e-02
-7.644324853228963157e+00,8.632119257980588878e-02
-7.588729763387298100e+00,8.636131891895772184e-02
-7.533134673545632154e+00,8.637837272874185346e-02
-7.477539583703967985e+00,8.638096249759426304e-02
-7.421944493862302039e+00,8.637522443874549871e-02
-7.366349404020636094e+00,8.636507740562140989e-02
-7.310754314178971924e+00,8.635255595416609087e-02
-7.255159224337306867e+00,8.633820606793059238e-02
-7.199564134495640921e+00,8.632152140779773830e-02
-7.143969044653975864e+00,8.630139058660395157e-02
-7.088373954812311695e+00,8.627652537269564492e-02
-7.032778864970646637e+00,8.624583959928235066e-02
-6.977183775128981580e+00,8.620875472795258565e-02
-6.921588685287316522e+00,8.616541370649868914e-02
-6.865993595445650577e+00,8.611679467751971739e-02
-6.810398505603984631e+00,8.606472363096019651e-02
-6.754803415762320462e+00,8.601179464236712036e-02
-6.699208325920654516e+00,8.596121202619719237e-02
-6.643613236078990347e+00,8.591657512130380925e-02
-6.588018146237324402e+00,8.588162843641342081e-02
-6.532423056395659344e+00,8.586000215457226248e-02
-6.476827966553995175e+00,8.585496601684222684e-02
-6.421232876712329229e+00,8.586921791050944330e-02
-6.365637786870663284e+00,8.590472302381972625e-02
-6.310042697028999115e+00,8.596261470179891728e-02
-6.254447607187333169e+00,8.604316066468138680e-02
-6.198852517345669000e+00,8.614579261468195692e-02
-6.143257427504003054e+00,8.626919042546057903e-02
-6.087662337662337109e+00,8.641140850830091036e-02
-6.032067247820672939e+00,8.657002849477302142e-02
-5.976472157979007882e+00,8.674232277872920283e-02
-5.920877068137341936e+00,8.692541414930136934e-02
-5.865281978295677767e+00,8.711642051866856640e-02
-5.809686888454011822e+00,8.731257663987344875e-02
-5.754091798612347652e+00,8.751132912095146987e-02
-5.698496708770681707e+00,8.771040325014935191e-02
-5.642901618929015761e+00,8.790784284438200868e-02
-5.587306529087351592e+00,8.810202456835722340e-02
-5.531711439245685646e+00,8.829164909919375026e-02
-5.476116349404020589e+00,8.847571077221133562e-02
-5.420521259562356420e+00,8.865344811822113702e-02
-5.364926169720690474e+00,8.882427761397174160e-02
-5.309331079879026305e+00,8.898771470575123077e-02
-5.253735990037360359e+00,8.914328700076416812e-02
-5.198140900195694414e+00,8.929044664575164214e-02
-5.142545810354030245e+00,8.942848945987162679e-02
-5.086950720512364299e+00,8.955648944472970052e-02
-5.031355630670700130e+00,8.967325628897623857e-02
-4.975760540829034184e+00,8.977732268480057010e-02
-4.920165450987369127e+00,8.986696551321551873e-02
-4.864570361145704958e+00,8.994026267468392677e-02
-4.808975271304039012e+00,8.999518357997479678e-02
-4.753380181462373066e+00,9.002970851164807109e-02
-4.697785091620708897e+00,9.004196835587362224e-02
-4.642190001779042952e+00,9.003039396217110690e-02
-4.586594911937378782e+00,8.999386186762735329e-02
-4.530999822095712837e+00,8.993182266297070071e-02
-4.475404732254046891e+00,8.984439818814378420e-02
-4.419809642412382722e+00,8.973243616680194601e-02
-4.364214552570717665e+00,8.959751392159163996e-02
-4.308619462729051719e+00,8.944188813266079618e-02
-4.253024372887387550e+00,8.926839285876118912e-02
-4.197429283045721604e+00,8.908029438726991489e-02
-4.141834193204057435e+00,8.888111630287200138e-02
-4.086239103362391489e+00,8.867445242754086465e-02
-4.030644013520725544e+00,8.846378664700871308e-02
-3.975048923679061375e+00,8.825233843430299596e-02
-3.919453833837395873e+00,8.804294945555009300e-02
-3.863858743995729927e+00,8.783802201550541811e-02
-3.808263654154065758e+00,8.763951327893179655e-02
-3.752668564312399813e+00,8.744898266027552325e-02
-3.697073474470735643e+00,8.726768279752843138e-02
-3.641478384629070142e+00,8.709667951373582795e-02
-3.585883294787404196e+00,8.693698219095417901e-02
-3.530288204945740027e+00,8.678966500212888235e-02
-3.474693115104074082e+00,8.665596002547000520e-02
-3.419098025262409912e+00,8.653730684894815617e-02
-3.363502935420744411e+00,8.643534794936520715e-02
-3.307907845579078465e+00,8.635186592418220286e-02
-3.252312755737414296e+00,8.628866537456408858e-02
-3.196717665895748350e+00,8.624740967526645097e-02
-3.141122576054082849e+00,8.622942876459578632e-02
-3.085527486212418680e+00,8.623551923003526520e-02
-3.029932396370752734e+00,8.626576027531723811e-02
-2.974337306529088565e+00,8.631936966717618231e-02
-2.918742216687422619e+00,8.639462084669002895e-02
-2.863147126845757118e+00,8.648883756282031710e-02
-2.807552037004092949e+00,8.659847461769409893e-02
-2.751956947162427003e+00,8.671928469828005248e-02
-2.696361857320761057e+00,8.684656130029271004e-02
-2.640766767479096888e+00,8.697543891846777619e-02
-2.585171677637431387e+00,8.710122368375650126e-02
-2.529576587795767217e+00,8.721972288294913001e-02
-2.473981497954101272e+00,8.732753968894248209e-02
-2.418386408112435326e+00,8.742230174569905199e-02
-2.362791318270771157e+00,8.750279757224721511e-02
-2.307196228429105656e+00,8.756900391077106216e-02
-2.251601138587439710e+00,8.762199784463166330e-02
-2.196006048745775541e+00,8.766375982776751508e-02
-2.140410958904109595e+00,8.769688499262323633e-02
-2.084815869062445426e+00,8.772423021968091261e-02
-2.029220779220779924e+00,8.774853109395644446e-02
-1.973625689379113979e+00,8.777202660765283382e-02
-1.918030599537449810e+00,8.779612873782383087e-02
-1.862435509695783864e+00,8.782117020987745271e-02
-1.806840419854118140e+00,8.784625605894619271e-02
-1.751245330012453971e+00,8.786923497159498941e-02
-1.695650240170788248e+00,8.788679449667953503e-02
-1.640055150329124078e+00,8.789467222857948181e-02
-1.584460060487458133e+00,8.788796289157042863e-02
-1.528864970645792409e+00,8.786149106869196868e-02
-1.473269880804128240e+00,8.781021105335132249e-02
-1.417674790962462517e+00,8.772959088372141168e-02
-1.362079701120798347e+00,8.761593660862961042e-02
-1.306484611279132402e+00,8.746661645635518678e-02
-1.250889521437466678e+00,8.728015155645983680e-02
-1.195294431595802509e+00,8.705615039470571137e-02
